Open time	Open	High	Low	Close	Volume	EMA_fast	EMA_slow	SMA_short	SMA_mid	SMA_long	RSI
2025-02-28 08:18:00	0.5868	0.5868	0.5856	0.5864	212915.1						
2025-02-28 08:19:00	0.5865	0.5871	0.5859	0.5862	161350.1						
2025-02-28 08:20:00	0.5861	0.5862	0.5852	0.5854	106187.2						
2025-02-28 08:21:00	0.5854	0.5859	0.5851	0.5855	142499.0						
2025-02-28 08:22:00	0.5856	0.5862	0.5854	0.5855	119028.5						
2025-02-28 08:23:00	0.5855	0.5856	0.5838	0.5843	329868.3						
2025-02-28 08:24:00	0.5842	0.5842	0.5835	0.5837	106015.1			0.5853			
2025-02-28 08:25:00	0.5837	0.5837	0.5828	0.5833	189472.7			0.5848			
2025-02-28 08:26:00	0.5834	0.5835	0.5824	0.5832	237966.8			0.5844			
2025-02-28 08:27:00	0.5832	0.5838	0.5826	0.5832	414892.4			0.5841			
2025-02-28 08:28:00	0.5831	0.5839	0.5829	0.5835	51170.0			0.5838			15.4967
2025-02-28 08:29:00	0.5834	0.5835	0.5831	0.5835	22850.3			0.5835			15.4967
2025-02-28 08:30:00	0.5836	0.5839	0.5835	0.5836	89159.7			0.5834			19.9024
2025-02-28 08:31:00	0.5835	0.5837	0.5827	0.5833	221666.2			0.5834			16.9557
2025-02-28 08:32:00	0.5832	0.5835	0.5826	0.5831	191886.3			0.5833	0.5842		15.2799
2025-02-28 08:33:00	0.5832	0.5832	0.5826	0.5832	128077.3			0.5833	0.584		19.6895
2025-02-28 08:34:00	0.5832	0.5835	0.5821	0.5835	195289.1			0.5834	0.5839		31.563
2025-02-28 08:35:00	0.5835	0.585	0.5831	0.5844	222161.1			0.5835	0.5838		54.1558
2025-02-28 08:36:00	0.5844	0.5844	0.5833	0.5834	147111.4			0.5835	0.5836		38.4749
2025-02-28 08:37:00	0.5834	0.5839	0.5829	0.5837	220729.1	0.5841		0.5835	0.5835		43.8905
2025-02-28 08:38:00	0.5836	0.5857	0.5834	0.5856	146446.5	0.5842		0.5838	0.5836		65.3519
2025-02-28 08:39:00	0.5856	0.5857	0.5844	0.5854	94039.6	0.5843		0.5842	0.5837		62.5535
2025-02-28 08:40:00	0.5854	0.5858	0.585	0.5855	219091.7	0.5845		0.5845	0.5839		63.4236
2025-02-28 08:41:00	0.5854	0.5855	0.5844	0.5845	68040.9	0.5845		0.5846	0.584		50.409
2025-02-28 08:42:00	0.5844	0.5849	0.5841	0.5842	96497.9	0.5844		0.5846	0.584		47.1817
2025-02-28 08:43:00	0.5843	0.5853	0.5843	0.5844	80713.4	0.5844		0.5848	0.5841		49.5731
2025-02-28 08:44:00	0.5844	0.5844	0.5832	0.5832	65392.1	0.5843		0.5847	0.5841		38.0793
2025-02-28 08:45:00	0.5832	0.5832	0.5823	0.5825	191205.4	0.5841		0.5842	0.584		33.1044
2025-02-28 08:46:00	0.5825	0.5829	0.582	0.5827	273724.3	0.584		0.5839	0.584		35.7684
2025-02-28 08:47:00	0.5826	0.5835	0.5825	0.5832	229512.6	0.5839		0.5835	0.584		42.1659
2025-02-28 08:48:00	0.5832	0.584	0.5832	0.5833	138545.0	0.5839		0.5834	0.584		43.4183
2025-02-28 08:49:00	0.5833	0.5836	0.5825	0.5825	158630.5	0.5837		0.5831	0.5839		36.41
2025-02-28 08:50:00	0.5825	0.5834	0.5823	0.5829	96541.1	0.5837		0.5829	0.5838		41.6431
2025-02-28 08:51:00	0.5829	0.5834	0.5826	0.5834	64759.3	0.5836		0.5829	0.5838		47.629
2025-02-28 08:52:00	0.5833	0.5838	0.5826	0.5837	252733.2	0.5836		0.5831	0.5838		50.981
2025-02-28 08:53:00	0.5837	0.5845	0.5836	0.5839	167870.7	0.5837		0.5833	0.5837		53.1999
2025-02-28 08:54:00	0.5839	0.5845	0.5833	0.5835	343188.0	0.5836		0.5833	0.5836		48.3376
2025-02-28 08:55:00	0.5835	0.5836	0.5828	0.5829	94558.0	0.5836		0.5833	0.5834		41.9478
2025-02-28 08:56:00	0.5829	0.5839	0.5827	0.5836	76313.4	0.5836		0.5834	0.5833		50.4403
2025-02-28 08:57:00	0.5835	0.5852	0.5831	0.5852	394096.5	0.5837		0.5837	0.5834		63.8655
2025-02-28 08:58:00	0.5852	0.5857	0.5848	0.5851	215108.9	0.5839		0.584	0.5834		62.6862
2025-02-28 08:59:00	0.5851	0.5854	0.5849	0.5851	50325.6	0.584		0.5842	0.5836		62.6862
2025-02-28 09:00:00	0.5852	0.5861	0.5836	0.5841	382240.7	0.584		0.5842	0.5837		51.0493
2025-02-28 09:01:00	0.584	0.5861	0.5839	0.5851	339982.2	0.5841		0.5844	0.5838		59.4196
2025-02-28 09:02:00	0.5852	0.5881	0.5852	0.5868	317111.2	0.5844		0.585	0.5841		69.3267
2025-02-28 09:03:00	0.5868	0.5868	0.5852	0.5861	277947.6	0.5845		0.5854	0.5843		62.3612
2025-02-28 09:04:00	0.586	0.5872	0.5858	0.5868	123931.7	0.5847		0.5856	0.5845		66.1411
2025-02-28 09:05:00	0.5867	0.5883	0.5865	0.5883	245444.7	0.5851		0.586	0.5849		72.6748
2025-02-28 09:06:00	0.5883	0.5883	0.5855	0.5861	239330.5	0.5852		0.5862	0.5851		55.2884
2025-02-28 09:07:00	0.5862	0.5869	0.5859	0.5867	213111.3	0.5853	0.5844	0.5866	0.5853	0.5844	58.3107
2025-02-28 09:08:00	0.5868	0.5881	0.5861	0.5877	433869.9	0.5855	0.5845	0.5869	0.5855	0.5844	62.9487
2025-02-28 09:09:00	0.5877	0.5893	0.5877	0.5889	144100.1	0.5859	0.5847	0.5872	0.5859	0.5844	67.7347
2025-02-28 09:10:00	0.5889	0.589	0.5871	0.5874	183238.9	0.586	0.5848	0.5874	0.5862	0.5845	57.4311
2025-02-28 09:11:00	0.5874	0.5877	0.5856	0.5856	120235.9	0.586	0.5848	0.5872	0.5863	0.5845	47.747
2025-02-28 09:12:00	0.5856	0.5864	0.5855	0.5858	144867.1	0.586	0.5848	0.5869	0.5864	0.5845	48.8126
2025-02-28 09:13:00	0.5858	0.586	0.5846	0.5848	176847.0	0.5858	0.5848	0.5867	0.5864	0.5845	43.8452
2025-02-28 09:14:00	0.5848	0.5849	0.5841	0.5845	357002.8	0.5857	0.5848	0.5864	0.5863	0.5845	42.4067
2025-02-28 09:15:00	0.5846	0.585	0.5839	0.5848	189742.5	0.5856	0.5848	0.586	0.5864	0.5845	44.4323
2025-02-28 09:16:00	0.5849	0.5859	0.5847	0.5849	258274.7	0.5856	0.5848	0.5854	0.5863	0.5846	45.1469
2025-02-28 09:17:00	0.5849	0.5861	0.5848	0.5849	183833.6	0.5855	0.5848	0.585	0.5862	0.5846	45.1469
2025-02-28 09:18:00	0.5849	0.5863	0.5848	0.585	78002.0	0.5855	0.5848	0.585	0.5861	0.5846	46.0041
