e,E,T,s,U,u,pu,b,a
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59740', '24666']","['0.59750', '12562']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59730', '45118']","['0.59760', '30729']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59720', '85469']","['0.59770', '113189']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59710', '70961']","['0.59780', '91777']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59700', '78954']","['0.59790', '82311']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59690', '88987']","['0.59800', '61234']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59680', '85783']","['0.59810', '61919']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59670', '98117']","['0.59820', '67294']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59660', '64799']","['0.59830', '85060']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59650', '41655']","['0.59840', '189719']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59640', '59807']","['0.59850', '105121']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59630', '89379']","['0.59860', '221114']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59620', '102617']","['0.59870', '93867']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59610', '113766']","['0.59880', '68554']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59600', '87848']","['0.59890', '108956']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59590', '119128']","['0.59900', '87549']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59580', '278919']","['0.59910', '185024']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59570', '100615']","['0.59920', '152032']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59560', '142871']","['0.59930', '38564']"
depthUpdate,1740746217027,1740746217019,ADAUSDT,6882034023972,6882034051789,6882034023356,"['0.59550', '122688']","['0.59940', '62610']"
