e,E,T,s,U,u,pu,b,a
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252880', '34167']","['0.252890', '85771']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252870', '13898']","['0.252900', '16056']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252860', '34658']","['0.252910', '15874']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252850', '70825']","['0.252920', '52723']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252840', '139327']","['0.252930', '25276']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252830', '145221']","['0.252940', '88133']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252820', '192535']","['0.252950', '51093']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252810', '223621']","['0.252960', '63465']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252800', '310079']","['0.252970', '186745']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252790', '129604']","['0.252980', '203960']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252780', '55940']","['0.252990', '75497']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252770', '48215']","['0.253000', '107805']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252760', '109190']","['0.253010', '258687']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252750', '82045']","['0.253020', '107426']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252740', '91024']","['0.253030', '82373']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252730', '120266']","['0.253040', '167093']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252720', '207720']","['0.253050', '111470']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252710', '154547']","['0.253060', '96556']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252700', '238234']","['0.253070', '391799']"
depthUpdate,1738895511378,1738895511368,DOGEUSDT,6682159111625,6682159141148,6682159106424,"['0.252690', '85294']","['0.253080', '52972']"
