e,E,T,s,U,u,pu,b,a
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18721', '2665']","['0.18722', '4606']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18720', '4116']","['0.18723', '5684']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18719', '12044']","['0.18724', '6685']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18718', '1752']","['0.18725', '6230']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18717', '9891']","['0.18726', '3405']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18716', '17272']","['0.18727', '17033']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18715', '34223']","['0.18728', '38522']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18714', '11081']","['0.18729', '13863']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18713', '22275']","['0.18730', '33607']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18712', '20018']","['0.18731', '40697']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18711', '21740']","['0.18732', '31371']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18710', '23255']","['0.18733', '77987']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18709', '16613']","['0.18734', '24200']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18708', '33204']","['0.18735', '23984']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18707', '37156']","['0.18736', '51294']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18706', '34636']","['0.18737', '43112']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18705', '41014']","['0.18738', '28981']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18704', '46981']","['0.18739', '33708']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18703', '58813']","['0.18740', '19110']"
depthUpdate,1740746216630,1740746216531,HBARUSDT,6882034002701,6882034024462,6882033992638,"['0.18702', '41345']","['0.18741', '27742']"
