e,E,T,s,U,u,pu,b,a
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5594000', '4517.2']","['0.5595000', '25463.3']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5593000', '14908.4']","['0.5596000', '18290.8']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5592000', '35056.9']","['0.5597000', '41746.4']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5591000', '39674.1']","['0.5598000', '33383.0']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5590000', '46412.7']","['0.5599000', '39580.2']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5589000', '94277.8']","['0.5600000', '53603.4']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5588000', '51075.2']","['0.5601000', '46968.0']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5587000', '103850.6']","['0.5602000', '41163.4']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5586000', '50775.2']","['0.5603000', '38307.0']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5585000', '57318.5']","['0.5604000', '56278.2']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5584000', '45290.1']","['0.5605000', '76670.4']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5583000', '70885.3']","['0.5606000', '32070.0']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5582000', '76235.3']","['0.5607000', '44857.8']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5581000', '60544.1']","['0.5608000', '53002.1']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5580000', '67621.7']","['0.5609000', '28623.8']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5579000', '111081.4']","['0.5610000', '26609.8']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5578000', '76779.8']","['0.5611000', '47256.9']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5577000', '83303.5']","['0.5612000', '66920.0']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5576000', '81325.7']","['0.5613000', '71724.0']"
depthUpdate,1740746216659,1740746216656,WIFUSDT,6882034003727,6882034029790,6882034003725,"['0.5575000', '65524.7']","['0.5614000', '12801.0']"
