e,E,T,s,U,u,pu,b,a
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0235', '2284.7']","['2.0236', '7269.4']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0234', '6141.6']","['2.0237', '7873.2']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0233', '10715.6']","['2.0238', '14083.4']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0232', '8085.7']","['2.0239', '8270.5']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0231', '7599.6']","['2.0240', '12693.7']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0230', '14122.3']","['2.0241', '12117.6']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0229', '20453.5']","['2.0242', '17414.8']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0228', '29060.9']","['2.0243', '36110.8']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0227', '24626.6']","['2.0244', '38115.2']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0226', '41314.5']","['2.0245', '15603.9']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0225', '17151.8']","['2.0246', '14446.6']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0224', '62467.5']","['2.0247', '17380.0']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0223', '28527.0']","['2.0248', '32408.4']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0222', '15235.8']","['2.0249', '40948.8']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0221', '15564.1']","['2.0250', '16381.2']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0220', '17752.7']","['2.0251', '11765.7']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0219', '13637.5']","['2.0252', '18398.4']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0218', '42027.9']","['2.0253', '12109.8']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0217', '34004.5']","['2.0254', '10230.6']"
depthUpdate,1740746216981,1740746216976,XRPUSDT,6882034022029,6882034047663,6882034021942,"['2.0216', '16864.9']","['2.0255', '25379.2']"
